session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration,prior_accuracy
curE014a,28,Easy,1.0,right,2328,2514,4842,2,0,2,5,5,10,5,1,1,2,2160,800,170,970,0.0
curE017a,7,Easy,1.0,left,2650,2582,5232,1,0,1,6,6,12,5,5,0,5,1918,1850,0,1850,
curE017a,8,Easy,1.0,left,2962,1716,4678,1,0,1,6,4,10,3,3,0,3,2918,820,0,820,1.0
curE017a,9,Medium,0.0,left,4182,9530,13712,1,2,3,9,13,22,11,7,0,7,8186,2572,0,2572,1.0
curE017a,12,Easy,1.0,left,10296,3082,13378,1,1,2,13,8,21,6,11,0,11,2938,3334,0,3334,
curE017a,13,Easy,0.0,left,2332,2616,4948,1,1,2,6,7,13,5,4,0,4,2406,1074,0,1074,1.0
curE017a,14,Easy,1.0,left,3166,1182,4348,2,1,3,6,3,9,2,2,2,4,1632,850,808,1658,0.0
curE017a,20,Easy,0.0,right,2632,1266,3898,2,0,2,7,3,10,2,3,3,6,1220,870,962,1832,
curE017a,21,Easy,0.0,right,5316,6346,11662,2,0,2,14,14,28,13,4,7,11,5776,1342,2148,3490,0.0
curE017a,24,Easy,0.0,left,3782,6332,10114,3,0,3,9,13,22,11,1,6,7,6108,110,2504,2614,
curE017a,25,Easy,1.0,right,4564,1184,5748,2,0,2,10,3,13,2,2,6,8,1646,608,2570,3178,0.0
curE017a,26,Easy,0.0,right,8362,2650,11012,1,0,1,14,4,18,3,13,0,13,2626,7566,0,7566,1.0
curE017a,27,Easy,1.0,left,8168,2596,10764,2,0,2,11,6,17,4,5,2,7,2418,4548,1424,5972,0.0
curE017a,28,Easy,1.0,right,4314,2916,7230,2,0,2,7,6,13,4,3,3,6,2406,2102,966,3068,1.0
curE017a,29,Medium,1.0,right,4144,10038,14182,1,0,1,8,4,12,4,7,0,7,1318,3366,0,3366,1.0
curE017a,31,Medium,1.0,left,4732,1382,6114,1,0,1,9,3,12,2,2,5,7,1318,1204,2616,3820,
curE017a,32,Medium,1.0,right,3082,4332,7414,2,0,2,9,3,12,3,4,3,7,1966,1346,674,2020,1.0
curE017a,33,Hard,0.0,left,11864,1882,13746,2,0,2,8,5,13,3,5,2,7,1490,2574,782,3356,1.0
